file,employees_text,company_number,source_employees
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/11661888-2024-11-13-accounts-with-accounts-type-full.txt,"average monthly number of employees (all directors) during the year was 3 (2023: 3). -4 directors' remuneration due to the nature of the operations of the group, the remuneration of the directors for their services to broadstone holdings (midlands) limited is not contained in the records of the company. in the current year, directors’ remuneration was borne by the zircon topco limited group of companies. the directors provided no substantial services during the year to-the company and they have concluded that the ‘ proportion of time to be devoted to the management of this company would lead to an immaterial proportional allocation. the direct",11661888,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/10741332-2025-07-09-accounts-with-accounts-type-small.txt,"average monthly number of persons {including directors) employed by the company during the period was: 2024 2023 number number total - - fixed asset investments 2024 2023 £ £ shares in group undertakings and participating interests 10 716,320 abrams ashton holdings limited notes to the financial statements (continued) for the period ended 31 march 2024 3 fixed asset investments (continued) movements in fixed asset investments shares in subsidiaries £ cost or valuation at 27 december 2023 716,320 valuation changes {716,310) at 31 march 2024 10 carrying amount at 31 march 2024 10 at 26 december 2023 716,320 4 debtors 2024 2023",10741332,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/06004328-2024-09-27-accounts-with-accounts-type-full.txt,are not applicable as there are no individuals employed in the company. customers the requirements,06004328,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/09202431-2024-11-10-legacy.txt,average monthly number of employees (including executive directors) within the group was as follows: year ended year ended 31-dec-23 31-dec-22 number number aberdeen 61 59 glasgow 138 131 southampton 67 64 ags airports limited 98 85 total 364 339 directors’ and key management personnel remuneration year ended year ended 31-dec-23 31-dec-22 £000 £000 directors’ and key management's remuneration aggregate emoluments 711 698 amounts receivable under long-term incentive ptans 155 70 value of pension contributions to a defined contribution scheme - 6 866 774 number number number of directors and key management who: __are members of a defined contribution pension s,09202431,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/13059750-2024-10-11-accounts-with-accounts-type-full.txt,"average monthly number of employees during the year was made up as follows: year ending year ending 31 december 31 december 2023 2022 no. no. full time equivalents - 3 3. loss on ordinary activities before taxation: year ending 31 year ending december 31 december 2023 2022 £ 000’s £000’s is stated after charging group auditor’s remuneration. 10 30 costs related to acquisitions 137 - loss on foreign exchange 54 16 docusign envelope id: 295c2517-0c5f-4bc0-9808-a4a8d6c38e8c project calcutta bidco a limited year ended 31 december 2023 notes to the financial statements 4, interest payable and similar charges bank and other loans ban",13059750,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/07379689-2025-07-11-accounts-with-accounts-type-audit-exemption-subsiduary.txt,by glide student & residential limited. all staff costs are borne by glide student & residential limited. 6 = taxation corporation tax adjustments in respect of previous periods corporation tax (credit) / charge deferred tax origination and reversal of timing differences adjustment in respect of previous periods deferred tax (credit) / charge total tax,07379689,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/03151266-2025-01-06-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"304,664 1,217,736 5 staff costs all employees engaged in the business of the company are employed and remunerated by a fellow group subsidiary. staff costs and numbers are disclosed in the group accounts. 6 directors’ remuneration the directors were remunerated via a separate group company. page 14 docusign envelope !d: 64e645af-",03151266,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/SC511356-2024-10-08-accounts-with-accounts-type-full.txt,2024. . 6 employees the company dis not have any employees other (han di in beth years,SC511356,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/10276896-2024-11-22-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons employed by the company (including directors) during the year, analysed hy category was as follows: 2023 2022 administration 6 3 sales ] - management 2 6 9 9 8 directors' remuneration the emoluments of all directors are paid by other group companies. these directors are directors of ardonagh group eoldings limited and/or other fellow subsidiaries. their total emoluments are included in the consolidated financial statements of ardonagh group holdings limited. it is impractical to determine the proportionate amount of emoluments relating to the company. ethos partner holdings limited notes to t",10276896,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/04658389-2025-01-17-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons employed by the company, during the financial year was made up as follows: 2024 2023 no. of no. of employees = employees surgery staff - 46 administration staff i: 11 average number of employees = 57 the aggregate payroll costs of these persons were as follows: 2024 2023 £ £ wages and salaries - 1,235,010 social security costs - 66,188 other pension costs _ - 16,778 total employee benefits expense : 1,317,976 from | april 2023, all staff services were provided to the company by petrie tucker and partners limited, a fellow subsidiary and therefore, the company no longer incurred employee’s cos",04658389,PDF
