Id,Title,Location,RecordText,snippet
15-92801,Largest automated tomb facility,"Tokyo, Japan","The six-storey Kouanji Buddhist Temple in downtown Tokyo, Japan, is an automated tomb facility that, as of 1 January 2010, houses 6,850 human remains. Square marble boxes - which can contain the cremated remains (""cremains"") of up to nine family members - are accessed by visitors using a swipe card that identifies the location of the remains and delivers them via a conveyor-belt system. Highrise graveyards such as this are proving popular in Japan, where space is at a premium; the city-centre location, and the cost - a fifth of the price of a regular tomb - are also proving attractive.<br/>Kouanji currently has a full capacity potential of 100,000 cremains. Each burial costs around Y800,000 ($8,800, £5,370).","Title: Largest automated tomb facility
 Location: Tokyo, Japan
 Text: The six-storey Kouanji Buddhist Temple in downtown Tokyo, Japan, is an automated tomb facility that, as of 1 January 2010, houses 6,850 human remains. Square marble boxes - which can contain the cremated remains (""cremains"") of up to nine family members - are accessed by visitors using a swipe card that identifies the location of the remains and delivers them via a conveyor-belt system. Highrise graveyards such as this are proving popular in Japan, where space is at a premium; the city-centre location, and the cost - a fifth of the price of a regular tomb - are also proving attractive.<br/>Kouanji currently has a full capacity potential of 100,000 cremains. Each burial costs around Y800,000 ($8,800, £5,370)."
15-381552,First ancient Egyptian site discovered by Satellite Remote Sensing,"Dahshur North, Egypt","In 1996, a team of Japanese researchers from Tokai University and the Institute of Waseda University investigated the west bank of the River Nile in Egypt, where several pyramids were believed to lie undiscovered. Their method was new: a survey using satellite remote sensing. An anomaly was detected and excavated and proved to be a mud brick tomb from around the time of Tutankhamen. Named ‘Dahshur North’ it was the first ancient Egyptian site discovered from space.<br/>Limestone revenant and brick size dated the tomb to the New Kingdom, the 500-year period of Egyptian high empire, making it the first of its kind in the area. Specific finds bearing the name of Tutankhamen and his wife Ankhesenamun narrowed the date to the 18th dynasty. Inscriptions to ‘Ipay royal butler and scribe’ and ‘Mes, royal scribe and steward’ suggested that the tomb was used for several generations of royal servants.","Title: First ancient Egyptian site discovered by Satellite Remote Sensing
 Location: Dahshur North, Egypt
 Text: In 1996, a team of Japanese researchers from Tokai University and the Institute of Waseda University investigated the west bank of the River Nile in Egypt, where several pyramids were believed to lie undiscovered. Their method was new: a survey using satellite remote sensing. An anomaly was detected and excavated and proved to be a mud brick tomb from around the time of Tutankhamen. Named ‘Dahshur North’ it was the first ancient Egyptian site discovered from space.<br/>Limestone revenant and brick size dated the tomb to the New Kingdom, the 500-year period of Egyptian high empire, making it the first of its kind in the area. Specific finds bearing the name of Tutankhamen and his wife Ankhesenamun narrowed the date to the 18th dynasty. Inscriptions to ‘Ipay royal butler and scribe’ and ‘Mes, royal scribe and steward’ suggested that the tomb was used for several generations of royal servants."
15-432120,Most basketball bounces between the legs in one minute,"Ljubljana, Ljubljana, Slovenia","<p>The most basketball bounces between the legs in one minute is 517, and was achieved by Luka Trpin (Slovenia), in Ljubljana, Slovenia, on 28 January 2024. </p><br/><p>Luka bettered the previous record by 147.</p>","Title: Most basketball bounces between the legs in one minute
 Location: Ljubljana, Ljubljana, Slovenia
 Text: <p>The most basketball bounces between the legs in one minute is 517, and was achieved by Luka Trpin (Slovenia), in Ljubljana, Slovenia, on 28 January 2024. </p><br/><p>Luka bettered the previous record by 147.</p>"
15-24598,Most characters voiced by one artist - TV cartoon series,United States,"<p>The most characters voiced by one artist in TV cartoon series is 1,382, and was achieved by Trey Parker (USA), as verified on 2 January 2019.</p><br/><p>Trey Parker is also the director and writer of South Park and has worked with Matt Stone - who produces the show - for 22 seasons. </p>","Title: Most characters voiced by one artist - TV cartoon series
 Location: United States
 Text: <p>The most characters voiced by one artist in TV cartoon series is 1,382, and was achieved by Trey Parker (USA), as verified on 2 January 2019.</p><br/><p>Trey Parker is also the director and writer of South Park and has worked with Matt Stone - who produces the show - for 22 seasons. </p>"
15-650159,Most marble slabs broken with a single nunchaku strike,"karachi, sind, Pakistan","<p>The most marble slabs broken with a single nunchaku strike is 10 and was achieved by Muhammad Rashid (Pakistan), in Karachi, Sindh, Pakistan, on 27 August 2023.</p><br/><p>Muhammad, who has been practicing martial arts for 26 years now, attempted this record in his academy of martial arts surrounded by several coaches and referees.</p>","Title: Most marble slabs broken with a single nunchaku strike
 Location: karachi, sind, Pakistan
 Text: <p>The most marble slabs broken with a single nunchaku strike is 10 and was achieved by Muhammad Rashid (Pakistan), in Karachi, Sindh, Pakistan, on 27 August 2023.</p><br/><p>Muhammad, who has been practicing martial arts for 26 years now, attempted this record in his academy of martial arts surrounded by several coaches and referees.</p>"
15-460178,Most prolific fighting videogame series (excluding ports),Not Applicable,"<p>Excluding cross-platform ports of the same game and compilations, there have been approximately 53 individual videogames released in Capcom's iconic <em>Street Fighter</em> series, as of 20 January 2017. This includes titles in the main series, which debuted in 1987, spin-off fighters such as <em>Street Fighter EX</em>, crossovers including <em>Marvel vs Capcom</em> and <em>Street Fighter X Tekken</em>, and a handful of non-genre spin-offs, including card battle games and even an adventure game based on the 1994 movie.</p>","Title: Most prolific fighting videogame series (excluding ports)
 Location: Not Applicable
 Text: <p>Excluding cross-platform ports of the same game and compilations, there have been approximately 53 individual videogames released in Capcom's iconic <em>Street Fighter</em> series, as of 20 January 2017. This includes titles in the main series, which debuted in 1987, spin-off fighters such as <em>Street Fighter EX</em>, crossovers including <em>Marvel vs Capcom</em> and <em>Street Fighter X Tekken</em>, and a handful of non-genre spin-offs, including card battle games and even an adventure game based on the 1994 movie.</p>"
15-30457,Longest marathon theatre performance (team),"Coronado, CA, United States","<p>The longest marathon theatre performance by a team lasted for 76 hr 18 min 25 sec and was achieved by Lamb's Players Theatre (USA) in Coronado, California, USA, from 8-11 May 2014.</p><br/><p>20 members of the Lamb's Players Theatre took part in the marathon performance and performed 46 different plays and musicals in total.</p>","Title: Longest marathon theatre performance (team)
 Location: Coronado, CA, United States
 Text: <p>The longest marathon theatre performance by a team lasted for 76 hr 18 min 25 sec and was achieved by Lamb's Players Theatre (USA) in Coronado, California, USA, from 8-11 May 2014.</p><br/><p>20 members of the Lamb's Players Theatre took part in the marathon performance and performed 46 different plays and musicals in total.</p>"
15-63999,Highest marks in an ice dancing competition,"Helsinki, Finland","The highest marks awarded in an international championship was 29 perfect 6.0s to Jayne Torvill and Christopher Dean (GB) in the World Ice Dance Championships at Ottawa, Canada on March 22-24, 1984. 
<br/>This marks comprised of seven in the compulsory dances, a perfect set of nine for presentation in the set pattern dance and 13 in the free dance, including another perfect set from all nine judges for artistic presentation. They previously gained a perfect set of nine sixes for artistic presentation in the free dance at the 1983 World Championships in Helsinki, Finland and at the 1984 Winter Olympic Games in Sarajevo, Yugoslavia.
","Title: Highest marks in an ice dancing competition
 Location: Helsinki, Finland
 Text: The highest marks awarded in an international championship was 29 perfect 6.0s to Jayne Torvill and Christopher Dean (GB) in the World Ice Dance Championships at Ottawa, Canada on March 22-24, 1984. 
<br/>This marks comprised of seven in the compulsory dances, a perfect set of nine for presentation in the set pattern dance and 13 in the free dance, including another perfect set from all nine judges for artistic presentation. They previously gained a perfect set of nine sixes for artistic presentation in the free dance at the 1983 World Championships in Helsinki, Finland and at the 1984 Winter Olympic Games in Sarajevo, Yugoslavia.
"
15-28829,Most free-throws made in one minute standing on one leg,"Temperance, Michigan, United States","<p>The most free-throws made in one minute standing on one leg is 72 and was achieved by Anthony Miracola (USA), in Temperance, Michigan, USA, on 16 August 2021.</p><br/><p>Anthony made this attempt to further his ""resume of shooting excellence"". Prior to this attempt he has previously held multiple records for shooting basketballs.</p>","Title: Most free-throws made in one minute standing on one leg
 Location: Temperance, Michigan, United States
 Text: <p>The most free-throws made in one minute standing on one leg is 72 and was achieved by Anthony Miracola (USA), in Temperance, Michigan, USA, on 16 August 2021.</p><br/><p>Anthony made this attempt to further his ""resume of shooting excellence"". Prior to this attempt he has previously held multiple records for shooting basketballs.</p>"
15-769926,Largest poppy seed cake,"Allstedt, Saxony-Anhalt, Germany","<p>The largest poppy seed cake is 107 kg (235 lb 14 oz) and was achieved by Bäckerei Meye (Germany) in Allstedt, Sachsen-Anhalt, Germany, on 9 June 2024.</p><br/><p>The Bäckerei Meye made the largest poppy seed cake to draw attention to the 500th anniversary of the German Peasants' War and to commemorate Thomas Müntzer on his 500th death anniversary. Bäckerei Meye also emphasized poppy seeds, an ingredient that was significant in regional dishes and baked goods 500 years ago.</p>","Title: Largest poppy seed cake
 Location: Allstedt, Saxony-Anhalt, Germany
 Text: <p>The largest poppy seed cake is 107 kg (235 lb 14 oz) and was achieved by Bäckerei Meye (Germany) in Allstedt, Sachsen-Anhalt, Germany, on 9 June 2024.</p><br/><p>The Bäckerei Meye made the largest poppy seed cake to draw attention to the 500th anniversary of the German Peasants' War and to commemorate Thomas Müntzer on his 500th death anniversary. Bäckerei Meye also emphasized poppy seeds, an ingredient that was significant in regional dishes and baked goods 500 years ago.</p>"
15-398992,Most pistol squats on a balance board in one minute (male),"Rodano, Milan, Italy","<p>The Most pistol squats on a balance board in one minute is 25, achieved by Silvio Sabba (Italy) in Rodano, Milan, Italy, on 30 April 2017.</p><br/><p>Silvio Sabba is a serial record breaker.</p>","Title: Most pistol squats on a balance board in one minute (male)
 Location: Rodano, Milan, Italy
 Text: <p>The Most pistol squats on a balance board in one minute is 25, achieved by Silvio Sabba (Italy) in Rodano, Milan, Italy, on 30 April 2017.</p><br/><p>Silvio Sabba is a serial record breaker.</p>"
15-117167,Most shampoo sold on a single online platform in 24 hours,"Shanghai, China","The most shampoo sold on a single online platform in 24 hours is 116,158 litres (25,551 UK gal; 30,686 US gal) and was achieved by Yihaodian (China) on 7th July 2014.<br/>Yihaodian is an online grocery store that delivers goods to the door throughout China. This record was set as part of a series of 8 records attempted throughout July.","Title: Most shampoo sold on a single online platform in 24 hours
 Location: Shanghai, China
 Text: The most shampoo sold on a single online platform in 24 hours is 116,158 litres (25,551 UK gal; 30,686 US gal) and was achieved by Yihaodian (China) on 7th July 2014.<br/>Yihaodian is an online grocery store that delivers goods to the door throughout China. This record was set as part of a series of 8 records attempted throughout July."
15-453884,Longest custom banana car,"Kalamazoo, Michigan, United States","<p>In 2009, UK-born Steve Braithwaite (a resident of Michigan, USA) started constructing the unique ""Big Banana Car"".  Based on a 1993 Ford F-150 pick-up truck, Steve took until 2011 to finish construction of the world's longest ""banana car"".  At 22 ft 10.5 in (6.97 m) in length and 10 ft 2 in (3.09 m) in height, the ""banana"" is built on the truck chassis using rebar (reinforced steel bars), chicken wire and polyurethane foam that was sculpted, covered in fibreglass and painted into its unique fruit appearance. With a top speed of 85 mph (136.79 km/h), the 8-mpg V8 engine gets about 15 miles per US gallon (18.01 miles per UK gallon), propelling the banana car down the road with three passengers seated in a line behind the driver.  The car cost around $25,000 (then approximately £16,000; €19,000) and has driven on the highway from Michigan to Miami (Florida), Houston (Texas), Providence (Rhode Island) and everywhere in between.</p><br/><p>According to its constructor, this is the world's only four-wheel drive banana.</p>","Title: Longest custom banana car
 Location: Kalamazoo, Michigan, United States
 Text: <p>In 2009, UK-born Steve Braithwaite (a resident of Michigan, USA) started constructing the unique ""Big Banana Car"".  Based on a 1993 Ford F-150 pick-up truck, Steve took until 2011 to finish construction of the world's longest ""banana car"".  At 22 ft 10.5 in (6.97 m) in length and 10 ft 2 in (3.09 m) in height, the ""banana"" is built on the truck chassis using rebar (reinforced steel bars), chicken wire and polyurethane foam that was sculpted, covered in fibreglass and painted into its unique fruit appearance. With a top speed of 85 mph (136.79 km/h), the 8-mpg V8 engine gets about 15 miles per US gallon (18.01 miles per UK gallon), propelling the banana car down the road with three passengers seated in a line behind the driver.  The car cost around $25,000 (then approximately £16,000; €19,000) and has driven on the highway from Michigan to Miami (Florida), Houston (Texas), Providence (Rhode Island) and everywhere in between.</p><br/><p>According to its constructor, this is the world's only four-wheel drive banana.</p>"
15-381778,Most chemical-resistant material,Not Applicable,"Polytetrafluoroethylene (PTFE) is truly a miracle material for the modern age. It was discovered in 1938 by Roy Plunkett while he was working for Kinetic Chemicals in New Jersey, USA, owned by E. I. du Pont de Nemours and Company – or DuPont, as we know them today. As Plunkett attempted to make a refrigerant, the tetrafluoroethylene gas he used was catalysed by the residual iron in the apparatus to a waxy white slippery material coating. Analysis showed that it was polymerized perfluoroethylene. Kinetic Chemicals patented the new fluorinated plastic (analogous to the already known polyethylene) in 1941 and registered the universally known Teflon trademark in 1945. PTFE is used in applications from weatherproof clothing (“Goretex”) to non-stick frying pans (“Teflon”), and also in low-friction bearings for consumer white goods and moving machine parts. Its chemical resistance is second to no other plastic, and only fluorine itself can act upon PTFE. Flasks of PTFE provide the only way to hold the most aggressive acid in the world.<br/>There is no single measure of chemical resistance for materials, but PTFE is the only substance that is effectively chemically inert apart from its reactance with Fluorine, a constituent part of PTFE. Its enormous resistance to chemical attack comes from the fact that the material comprises only fluorine and carbon atoms in a very well-defined structure that has the third lowest coefficient of friction known. 

Fact: Geckos cannot stick to dry PTFE, although they can stick to wet PTFE.","Title: Most chemical-resistant material
 Location: Not Applicable
 Text: Polytetrafluoroethylene (PTFE) is truly a miracle material for the modern age. It was discovered in 1938 by Roy Plunkett while he was working for Kinetic Chemicals in New Jersey, USA, owned by E. I. du Pont de Nemours and Company – or DuPont, as we know them today. As Plunkett attempted to make a refrigerant, the tetrafluoroethylene gas he used was catalysed by the residual iron in the apparatus to a waxy white slippery material coating. Analysis showed that it was polymerized perfluoroethylene. Kinetic Chemicals patented the new fluorinated plastic (analogous to the already known polyethylene) in 1941 and registered the universally known Teflon trademark in 1945. PTFE is used in applications from weatherproof clothing (“Goretex”) to non-stick frying pans (“Teflon”), and also in low-friction bearings for consumer white goods and moving machine parts. Its chemical resistance is second to no other plastic, and only fluorine itself can act upon PTFE. Flasks of PTFE provide the only way to hold the most aggressive acid in the world.<br/>There is no single measure of chemical resistance for materials, but PTFE is the only substance that is effectively chemically inert apart from its reactance with Fluorine, a constituent part of PTFE. Its enormous resistance to chemical attack comes from the fact that the material comprises only fluorine and carbon atoms in a very well-defined structure that has the third lowest coefficient of friction known. 

Fact: Geckos cannot stick to dry PTFE, although they can stick to wet PTFE."
